date,cand_restname,cand_lastname,city,state,event_type,description
2019-01-04,Elizabeth,Warren,Des Moines,IA,NA,"Campaign events in Des Moines, Sioux City, Storm Lake, and Council Bluffs"
2019-01-03,John,Delaney,Dilley,TX,meet and greet,Detention center visit
2019-01-17,Beto,O'Rourke,Pueblo,CO,meet and greet,meet and greet with Pueblo Community College students
2018-12-23,Beto,O'Rourke,Tornillo,TX,tour,Border visit
2018-12-20,Pete,Buttigieg,Des Moines,IA,event speech,"The sixth annual Progress Iowa Holiday Party will feature a number of national progressive leaders and potential Presidential candidates delivering keynote addresses, the organization announced today. Newly elected U.S. Reps. Cindy Axne and Abby Finkenauer will address the crowd, along with Mayor Pete Buttigieg of South Bend, Indiana, U.S. Sen. Jeff Merkley, U.S. Rep. and Iowa native Eric Swalwell, and entrepreneur and presidential candidate Andrew Yang will all speak at this year’s event, to be held Thursday, December 20th in Des Moines."
2018-12-20,Jeff,Merkley,Des Moines,IA,event speech,"The sixth annual Progress Iowa Holiday Party will feature a number of national progressive leaders and potential Presidential candidates delivering keynote addresses, the organization announced today. Newly elected U.S. Reps. Cindy Axne and Abby Finkenauer will address the crowd, along with Mayor Pete Buttigieg of South Bend, Indiana, U.S. Sen. Jeff Merkley, U.S. Rep. and Iowa native Eric Swalwell, and entrepreneur and presidential candidate Andrew Yang will all speak at this year’s event, to be held Thursday, December 20th in Des Moines."
2018-12-20,Eric,Swalwell,Des Moines,IA,"event speech, town hall","The sixth annual Progress Iowa Holiday Party, Gun Violence Town Hall"
2018-12-20,Andrew,Yang,Des Moines,IA,event speech,"The sixth annual Progress Iowa Holiday Party will feature a number of national progressive leaders and potential Presidential candidates delivering keynote addresses, the organization announced today. Newly elected U.S. Reps. Cindy Axne and Abby Finkenauer will address the crowd, along with Mayor Pete Buttigieg of South Bend, Indiana, U.S. Sen. Jeff Merkley, U.S. Rep. and Iowa native Eric Swalwell, and entrepreneur and presidential candidate Andrew Yang will all speak at this year’s event, to be held Thursday, December 20th in Des Moines."
2018-12-15,Jeff,Merkley,Tornillo,TX,tour,Border visit
2018-12-15,Beto,O'Rourke,Tornillo,TX,tour,Border visit
2018-12-14,Elizabeth,Warren,Baltimore,MD,event speech,Morgan State Commencement
2018-12-14,Eric,Swalwell,Manchester,NH,event speech,NH Young Democrats’ holiday party
2018-12-13,Tom,Steyer,Fresno,CA,event speech,"Discussion on the Right to Clean Air and Clean Water in Fresno, California"
2018-12-12,Joe,Biden,Washington,DC,meet and greet,Holiday Reception
2018-12-12,Kamala,Harris,Washington,DC,event speech,Center for American Progress: Eliminating Racial Disparities in Maternal and Infant Mortality
2018-12-09,Joe,Biden,Burlington,VT,book tour,Book tour event
2018-12-08,Cory,Booker,Concord,NH,"event speech, meet and greet","NH Dems Post-Election Victory Celebration, house parties, meet and greets"
2018-12-04,Tom,Steyer,Charleston,SC,event speech,Discussion on the Right to an Equal Vote in South Carolina
2018-12-04,Michael,Bloomberg,Des Moines,IA,forum,"""Paris to Pittsburgh"""
2018-12-03,Bernie,Sanders,Washington,DC,town hall,Solving Our Climate Crisis: A National Town Hall
2018-12-02,Tulsi,Gabbard,Exeter,NH,meet and greet,Meet & greet w/ local Dems / Rights & Democracy NH forum
2018-12-02,John,Delaney,Sioux City,IA,meet and greet,Meet and greet with local Dems
2018-12-01,Amy,Klobuchar,Perry,IA,event speech,Iowa Farmers Union state convention
2018-11-29,Elizabeth,Warren,Washington,DC,event speech,Foreign Policy Address
2018-11-28,Bernie,Sanders,Washington,DC,event speech,“Where We Go From Here: Two Years in the Resistance”
2018-11-17,Kamala,Harris,Jackson,MS,campaign event,Campaign w/ Mike Espy
2018-11-16,Andrew,Yang,Iowa City,IA,event speech,Event at Univ. of Iowa
2018-11-16,Deval,Patrick,Charleston,SC,event speech,keynote at Charleston Trident Urban League's 27th Annual Equal Opportunity and Diversity Fundraiser
2018-11-10,Eric,Swalwell,Des Moines,IA,event speech,Spoke with Asian & Latino Coalition
